Station,Lat,Long
Wadurawa Railway Station,7.167609700000001,80.06606339999999
Veyangoda,7.152810199999999,80.05864
Alawwa Railway Station,7.2933097,80.23859379999999
Heendeniya Pattigoda,7.1411454999999995,80.0471163
Magalegoda,7.1338319,80.036248
Walakumbura Railway Station,7.313848600000001,80.26908259999999
Bemmulla,7.122427900000001,80.0204807
Daraluwa Railway Station,7.1071528,80.0104558
Gampaha Railway Station,7.0935464999999995,79.9937296
Gangoda Railway Station,7.2962468,80.4546189
Ihalakotte Railway Station,7.288627099999999,80.469414
Yatiwaldeniya Railway Station,7.316246700000001,80.4402959
Kadigamuwa Railway Station,7.3179559,80.4335153
Balana,7.2666393,80.4894293
Kadugannawa,7.2578171,80.5207515
Rambukkana Railway Station,7.3212983,80.390238
Yatagama Railway Station,7.3184986,80.3643465
Barammane Railway Station,7.2681537,80.5629846
Tismalpola Railway Station,7.32161,80.34286999999999
Peradeniya Railway Station,7.257452700000001,80.5902036
Pannaliya Railway Station,7.3285,80.32521
Sarasavi Uyana Railway Station,7.260023500000001,80.5965547
Rajawatta Railway Station,7.267369,80.60264470000001
Koshinna,7.2333431,80.59505399999999
Randles Hill Railway Station,7.2786354,80.61809149999999
Gelioya,7.213891799999999,80.5986214
Polgahawela Railway Station,7.331019999999999,80.30098
Suduhumpola Train Halt,7.2847351,80.6259819
Nawalapitiya,7.0571972,80.5350101
Warakawa,7.074166,80.5408283
Heightenford Platform,7.0328456,80.5311048
Pallegama Railway Station,7.0836273,80.5526342
Inguruoya Railway Station,7.0182148,80.5456209
Ulapane Railway Station,7.108371399999999,80.5597196
Penrose Platform,6.99431,80.53943
Galboda,6.986619999999999,80.52987
Warakapitiya Railway Station,7.1246339,80.55831309999999
Tembiligala Railway Station,7.13319,80.55928
Wallahagoda Railway Station,7.1451801999999995,80.5616283
Ihala Watawala Railway Station,6.950013299999999,80.5376481
Gampola Railway Station,7.16219,80.56683
Kahatapitiya Railway Station,7.168477299999999,80.5733603
Rozella Railway Station,6.934819399999999,80.5588818
Weligalla Railway Station,7.1889418,80.5930611
Watagoda,6.9689845,80.65287169999999
Kotagala Railway Station,6.9283652,80.60857770000001
Gelioya,7.213891799999999,80.5986214
Radella,6.944739784243425,80.71671952785776
Perakumpura Sub Railway Station,6.919493436614849,80.7524698881318
